test,q,lengthscale,outputscale,noise,mll,best_outputscale,best_mll,at_grid_edge
T3,1.0,0.002848035868435802,464.1588833612773,10.0,-3.2389802530657064,,,
T3,1.0,0.002848035868435802,2154.4346900318824,1e-10,-3.616023013351458,,,
T3,1.0,0.002848035868435802,2154.4346900318824,1e-09,-3.6160230133515627,,,
T3,1.0,0.002848035868435802,2154.4346900318824,1e-08,-3.616023013352604,,,
T3,1.0,0.002848035868435802,2154.4346900318824,1e-07,-3.6160230133630207,,,
T3,1.0,0.002848035868435802,2154.4346900318824,1e-06,-3.6160230134672005,,,
T3,1.0,0.002848035868435802,2154.4346900318824,1e-05,-3.6160230145089876,,,
T3,1.0,0.002848035868435802,2154.4346900318824,0.0001,-3.6160230249268652,,,
T3,1.0,0.002848035868435802,2154.4346900318824,0.001,-3.6160231291056086,,,
T3,1.0,0.002848035868435802,2154.4346900318824,0.01,-3.6160241708906575,,,
T3,1.0,0.002848035868435802,2154.4346900318824,0.1,-3.6160345885020946,,,
T3,1.0,0.002848035868435802,2154.4346900318824,1.0,-3.616138740718209,,,
T3,1.0,0.002848035868435802,2154.4346900318824,10.0,-3.617177880408505,,,
T3,1.0,0.002848035868435802,10000.0,1e-10,-3.9991277936837157,,,
T3,1.0,0.002848035868435802,10000.0,1e-09,-3.999127793683738,,,
